 com.bojacob.koutbo6	71
 com.mazz.flappysuper	68
 com.bodybuilding.diet.food.recipes	66
 com.wi.guiddoo	82
 com.wifimanager84.freetools3	77
 com.msmapp.inmatesearch	42
 com.app_shirleyswanz.layout	32
 org.microemu.android.com.planarsoft.mobile.train.InitFree2	82
 com.hashinclude.sudoku	34
 com.aghanicartoonarabic.spacetoonsongs	38
 com.pingapp.status	64
 com.high.frequency.hearing.test	73
 com.mastersoft.fruitsalad	52
 com.liliapps.flash.onCall.sms.notification	67
 com.meetville.dating	147
 com.timefaces.schmidt.full	55
 com.chaiyaritpichan_addressfindersearch	57
 com.gamers3d.dressupmermaid	50
 eu.hitb.countingscout	44
 martinezCen.Blood.Groups.detector.fingerprint	41
 com.gainscasino.fortune.wheel.slots.hd	46
 com.fp.mawaqif	45
 com.GreatGamesUniverse.Great_Clean_Phone_App.Advanced_Systemcare_Free	50
 com.willy.moonberg.blocks.for.kids	37
 eu.creogroup.app.pressenger	34
 com.l2k.foodprepmanagerapplication	79
 ca.gpsnavigation	37
 com.msmapp.chickenrecipeseasy	55
 com.lockitdownfree	49
app_id	11
 com.epapps.myexpenses.free	48
 com.phoenix.HungryPanda	49
 com.rewardable	66
 pl.netigen.dinothebeast	59
 com.DMHGaming.SuperCircle	57
 com.wizard.bubbleshooter	64
 com.masiro.birthdaycakes	38
 com.savanegames.starshipalliance	61
80%	103
 com.peghlqji.etqrs.mcpe	50
 com.rainalert.events	43
 com.conduit.app_1c4caf0a128e4649a131cdb434499dd2.app	55
 com.kguard.KViewQR	104
 com.freefacetimevideochattips.bestvideocallsapps	47
 com.bezuur.ui	59
 net.gameplaystudio.dino.hunter.world	53
 com.GreatGamesUniverse.TheRedFunnyBall	45
 com.game.nemonemo2	57
 com.CatchItUp.goldpc.Ghost	71
 com.expertini	47
 white.simplicity.babypuzzale	56
 com.miumeet.android.client	68
 com.us.facebookvideodownloader	41
 com.masiro.popularhairstylesmen	48
 com.rajedev.fingerbodytemperaturescannerprank	64
 com.azanmp3.adhanringtones	46
 com.kanok_dailycardioworkouttraining	66
 com.andromo.dev310659.app296444	55
100%	102
 com.blogspotdrichapksPoisonousSnakes	39
 us.wifitools.wifiscananalyzer	49
 playgem.backgammon	94
 com.gumsup.gumsup	54
 com.GreatAppsUniverse.FreeBloodSugarTestPrank.BloodSugars	67
 com.drink_o_tron	101
 com.cellphone.lookupsearch	68
 com.creativecodeapps.unitconverter	48
 com.tiggzi.project54500	53
 com.msmapp.whitepagessearch	56
 com.natsoinc.insidehousedesigns	49
 com.uddinapps.fingerprint.scanner.lock.screen	66
